      Step     Time          Energy          fmax
BFGS:    0 14:46:26      -62.451573         1.537447
BFGS:    1 14:47:23      -62.480184         1.072702
BFGS:    2 14:49:00      -62.507836         0.146227
BFGS:    3 14:50:02      -62.507904         0.126625
BFGS:    4 14:51:48      -62.508234         0.110216
BFGS:    5 14:52:52      -62.508486         0.090108
      Step     Time          Energy          fmax
BFGS:    0 15:00:26      -62.451573         1.537447
BFGS:    1 15:01:24      -62.480184         1.072702
BFGS:    2 15:03:02      -62.507836         0.146227
BFGS:    3 15:04:06      -62.507904         0.126625
BFGS:    4 15:05:53      -62.508234         0.110216
BFGS:    5 15:06:56      -62.508486         0.090108
